FID,the_geom,fid,country,name,gppd_idnr,capacity_m,latitude,longitude,primary_fu,other_fuel,other_fu_1,other_fu_2,commission,owner,source,url,geolocatio,wepp_id,year_of_ca,generation,generati_1,generati_2,generati_3,generati_4,generati_5,generati_6,generati_7,estimated_,estimate_1,estimate_2,estimate_3,estimate_4,estimate_5,estimate_6,estimate_7,estimate_8,estimate_9
global_power_plants_renewable.20055,POINT (-73.5067 40.6489),20055,United States of America,Cedar Creek PV,USA0061376,1.8,40.6489,-73.5067,Solar,,,,2017,AES Distributed Energy,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019,0,0,0,0,0.72,2.913,3.041,U.S. Energy Information Administration,0,0,0,0,2.93,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
global_power_plants_renewable.20067,POINT (-70.5498 41.8027),20067,United States of America,Cedarville CSG,USA0060757,2.5,41.8027,-70.5498,Solar,,,,2017,Altus Power America Management  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019,0,0,0,0,1.293,3.884,4.421,U.S. Energy Information Administration,0,0,0,0,4.07,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
global_power_plants_renewable.20072,POINT (-71.426 42.253),20072,United States of America,Centaurus Solar - MA,USA0061371,2.4,42.253,-71.426,Solar,,,,2016,LSE Centaurus LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019,0,0,0,0,3.3234,3.215,3.424,U.S. Energy Information Administration,0,0,0,0,3.35,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,SOLAR-V1
global_power_plants_renewable.20074,POINT (-73.4602 43.0967),20074,United States of America,Center Falls,USA0010853,1.1,43.0967,-73.4602,Hydro,,,,1984,Hollingworth & Vose Co Center Falls,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,22252,2019,0.002,2.097,2.664,2.431,3.191,3.051,1.698,U.S. Energy Information Administration,3.94,3.61,4.06,3.62,3.22,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
global_power_plants_renewable.20078,POINT (-74.3214 40.2361),20078,United States of America,CentraState Medical Center PV Facility,USA0059630,5.2,40.2361,-74.3214,Solar,,,,2014,CleanCapital,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,68323,2019,0,0.038,8.496,8.48,7.904,7.52,7.991,U.S. Energy Information Administration,0,0,8.66,8.37,8.5,NO-ESTIMATION,NO-ESTIMATION,SOLAR-V1,SOLAR-V1,SOLAR-V1
global_power_plants_renewable.20082,POINT (-74.1319 41.8288),20082,United States of America,Central Hudson High Falls,USA0000579,3.2,41.8288,-74.1319,Hydro,,,,1987,Central Hudson Gas & Elec Corp,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019,2.524,0,0,0.147,2.863,7.62,8.002,U.S. Energy Information Administration,7.8,10.74,9.48,8.79,7.69,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
global_power_plants_renewable.20087,POINT (-73.1875 44.49),20087,United States of America,Chace Mill Winooski One,USA0054355,7.5,44.49,-73.1875,Hydro,,,,1993,City of Burlington Electric - (VT),U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,37150,2019,32.233,6.208,26.825,25.359,31.875,24.899,33.246,U.S. Energy Information Administration,28.94,30.77,25.03,29.7,26.83,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
global_power_plants_renewable.20089,POINT (-78.4864 42.5831),20089,United States of America,Chaffee Gas Recovery,USA0056526,6.4,42.5831,-78.4864,Waste,,,,2007.5,WM Renewable Energy LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,63161,2019,50.616,47.803,51.682,53.835,50.725,50.673,41.689,U.S. Energy Information Administration,0,0,0,0,1.15,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
global_power_plants_renewable.20098,POINT (-74.483 40.5503),20098,United States of America,Chanel Piscataway Rooftop,USA0063355,1.4,40.5503,-74.483,Solar,,,,2018,EnterSolar,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019,0,0,0,0,0,0,0.264,U.S. Energy Information Administration,0,0,0,0,2.28,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
global_power_plants_renewable.20103,POINT (-70.2209 44.0995),20103,United States of America,Charles E Monty,USA0000805,28.4,44.0995,-70.2209,Hydro,,,,1990,Brookfield White Pine Hydro LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,15890,2019,120.772,152.599,137.998,125.394,134.48,139.221,154.253,U.S. Energy Information Administration,111.91,111.89,82.94,104.54,96.52,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
global_power_plants_renewable.20104,POINT (-71.0708 42.3914),20104,United States of America,Charlestown Wind Turbine,USA0058065,1.5,42.3914,-71.0708,Wind,,,,2011,MWRA Charlestown,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,64911,2019,2.498,2.125,1.778,1.933,2.202,1.264,1.508,U.S. Energy Information Administration,4.01,3.55,3.06,3.28,3.4,WIND-V1,WIND-V1,WIND-V1,WIND-V1,WIND-V1
global_power_plants_renewable.20106,POINT (-73.1976 44.322),20106,United States of America,Charlotte Solar LLC VT,USA0059719,2,44.322,-73.1976,Solar,,,,2014,Charlotte Solar LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019,0,1.414,3.174,3.158,2.943,2.962,3.029,U.S. Energy Information Administration,0,0,2.68,2.92,2.92,NO-ESTIMATION,NO-ESTIMATION,SOLAR-V1,SOLAR-V1,SOLAR-V1
global_power_plants_renewable.20107,POINT (-71.9964 42.1275),20107,United States of America,Charlton Solar I CSG,USA0059636,4.4,42.1275,-71.9964,Solar,,,,2015,Charlton Solar I  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019,0,0,5.605,5.981,5.44,2.771,5.515,U.S. Energy Information Administration,0,0,6.83,6.76,6.32,NO-ESTIMATION,NO-ESTIMATION,SOLAR-V1,SOLAR-V1,SOLAR-V1
global_power_plants_renewable.20108,POINT (-74.2169 44.7533),20108,United States of America,Chasm,USA0002550,3,44.7533,-74.2169,Hydro,,,,1917.3333,Erie Boulevard Hydropower LP,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,27794,2019,9.19,8.019,13.017,18.979,21.079,21.943,23.75,U.S. Energy Information Administration,10.24,9.52,7.81,10.45,8.12,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
global_power_plants_renewable.20111,POINT (-70.0061 41.6861),20111,United States of America,Chatham Landfill,USA0059077,1.5,41.6861,-70.0061,Solar,,,,2014,CF CVEC Owner One LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,67794,2019,0,0.396,2.427,2.498,2.23,1.703,2.309,U.S. Energy Information Administration,0,0,2.56,2.64,2.43,NO-ESTIMATION,NO-ESTIMATION,SOLAR-V1,SOLAR-V1,SOLAR-V1
global_power_plants_renewable.20115,POINT (-79.3186 42.1989),20115,United States of America,Chautauqua LFGTE Facility,USA0057186,9.6,42.1989,-79.3186,Waste,,,,2010.3333,Innovative Energy Systems Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019,48.417,42.422,42.36,43.899,42.638,43.539,39.103,U.S. Energy Information Administration,0,0,0,0,1.73,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
global_power_plants_renewable.20121,POINT (-72.6097 42.1919),20121,United States of America,Chemical,USA0001604,1.6,42.1919,-72.6097,Hydro,,,,1935,City of Holyoke Gas and Electric Dept.,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,22286,2019,4.174,3.602,6.814,3.102,2.417,3.49,1.598,U.S. Energy Information Administration,4.63,5.65,3.81,4.81,4.67,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
global_power_plants_renewable.20122,POINT (-75.9273 42.1982),20122,United States of America,Chenango Solar,USA0063450,4.9,42.1982,-75.9273,Solar,,,,2020,Citizens Enterprises Corporation,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019,0,0,0,0,0,0,0,U.S. Energy Information Administration,0,0,0,0,7.98,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
